Height (m asl),RH (%),Latitude (º),Longitude (º),Pressure (mb),Temperature (K),Wind Direction (º),Wind Speed (m/s)
1594.562056,21.1027012,40.01098054,-105.2423547,829.9199,298.707825,106.8593359,2.467476939
1600.291553,21.4689884,40.0109643,-105.2424101,829.4021,298.378845,113.3221822,3.325547794
1605.103008,21.7142315,40.01098675,-105.2424664,828.922668,298.0851,114.8953723,3.756374533
1608.971015,21.47065,40.01102323,-105.242528,828.634155,297.855865,115.0919139,3.968730836
1613.106216,21.207922,40.01104674,-105.2426029,828.297546,297.658264,115.013473,4.121818428
1618.270549,21.2804775,40.01105223,-105.2426752,827.750854,297.4956,114.9982599,4.279786283
1623.525938,21.4465446,40.01105571,-105.2427245,827.208435,297.371368,115.0839961,4.452268283
1627.874445,21.5368061,40.01107549,-105.2427624,826.7816,297.300537,115.2128849,4.6276741
1630.880138,21.44685,40.01111237,-105.2428195,826.500854,297.265839,115.3220463,4.790225994
1632.963645,21.269289,40.01115353,-105.2429078,826.374634,297.2355,115.4182173,4.939490227
1635.458575,21.1708965,40.01117873,-105.2430082,826.1544,297.1989,115.5014955,5.075290123
1638.837962,21.15665,40.0111855,-105.2430941,825.788452,297.147369,115.5678308,5.197324142
1642.71309,21.2189426,40.01118928,-105.2431586,825.387939,297.091553,115.6152671,5.30526799
1646.388355,21.2851524,40.0112072,-105.243217,825.0293,297.045441,115.6472376,5.399072494
1649.49683,21.2788563,40.01124111,-105.243286,824.7845,297.013275,115.6713064,5.4791192
1652.555626,21.2532768,40.01127857,-105.2433619,824.5202,296.9849,115.6932033,5.546062178
1655.917394,21.26691,40.0113059,-105.2434239,824.155,296.949,115.7133828,5.600542013
1659.096622,21.3667984,40.01132374,-105.2434603,823.862549,296.911469,115.7289843,5.64324603
1662.074546,21.6204872,40.01134372,-105.2434858,823.590332,296.877533,115.7390641,5.67517576
1664.912238,21.7896767,40.0113747,-105.2435258,823.2942,296.845276,115.7469089,5.69778362
1667.562594,21.8311939,40.01141649,-105.2435901,823.0543,296.814331,115.7573731,5.712832131
1670.375537,21.8800163,40.01146307,-105.2436696,822.8224,296.7854,115.7728938,5.722060658
1673.882778,21.9173012,40.01150349,-105.2437505,822.4898,296.753052,115.7924056,5.726846779
1678.042977,21.9858589,40.01152807,-105.2438268,822.0644,296.717041,115.8133844,5.728088058
1682.326577,22.0817623,40.01153292,-105.2438976,821.6494,296.686584,115.8351754,5.726429123
1686.352975,22.17723,40.01152478,-105.2439593,821.2992,296.666229,115.8612263,5.722624059
1690.209922,22.2788239,40.01151917,-105.2440088,820.944458,296.642242,115.8973447,5.717767721
1693.972786,22.36512,40.01153086,-105.2440515,820.5742,296.603058,115.9490707,5.713100791
1697.547494,22.3825073,40.01155926,-105.2441001,820.2263,296.558929,116.019673,5.709689559
